,playerid,Rank,Name,R,RBI,HR,SB,ex_AVE,Values,Position(s),Team,Salary,Adjusted,dollar_value,K,W,ex_WHIP,ex_ERA,SV,Surplus,Overall_Value,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
0,18401,1,Ronald Acuña Jr.,135.159,99.7704,38.1714,56.0908,30.477349000000004,43.46073201090505,OF,Dirtbags 2022,56.0,36.41420730417188,84.0,0.0,0.0,0.0,0.0,0.0,28.0,112.0,6,1,0.0,15.3,93.0,84.0
1,23697,2,Julio Rodriguez,102.293,94.9612,33.3352,31.4887,9.368237999999991,26.984897028976196,OF,Steal Your Base,34.0,19.938372322243033,46.0,0.0,0.0,0.0,0.0,0.0,12.0,58.0,2,2,0.0,11.9,77.0,32.0
2,25764,3,Bobby Witt Jr.,101.554,93.1693,30.2137,42.3625,6.8300649999999905,28.525138024064148,SS,Bearded Villains,32.0,19.51498657180967,45.0,0.0,0.0,0.0,0.0,0.0,13.0,58.0,2,2,0.0,11.5,76.0,64.0
3,25878,4,Corbin Carroll,103.729,83.6373,25.9159,41.6471,3.6578460000000064,26.155449188047424,OF,Steal Your Base,21.0,19.10892448131426,44.0,0.0,0.0,0.0,0.0,0.0,23.0,67.0,2,2,0.0,7.6,40.0,71.0
4,27498,5,Spencer Strider,0.0,0.0,0.0,0.0,0.0,26.879282345854637,SP,🤡 Clown Team Brohtani 🎌,23.0,23.72426462283165,44.0,257.101,14.6255,24.96714,11.663233333333338,0.0,21.0,65.0,2,2,125.0,0.0,0.0,0.0
5,19709,6,Fernando Tatis Jr.,99.0654,103.63,36.4682,26.5117,6.32466500000001,25.459676271680543,OF,🤡 Clown Team Brohtani 🎌,51.0,18.413151564947377,43.0,0.0,0.0,0.0,0.0,0.0,-8.0,35.0,2,2,0.0,11.0,70.0,20.0
6,18345,7,Kyle Tucker,96.2968,102.707,31.9795,24.6318,10.46530899999999,25.279084559482868,OF,Black Sox,38.0,18.232559852749702,42.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,2,2,0.0,10.6,68.0,86.0
7,19755,8,Shohei Ohtani,113.993,106.37,39.4268,19.664,3.435486999999995,24.058897454912536,Util/SP,🤡 Clown Team Brohtani 🎌,47.0,17.012372748179374,40.0,0.0,0.0,0.0,0.0,0.0,-7.0,33.0,2,2,121.0,19.6,100.0,12.0
8,14710,9,Edwin Diaz,0.0,0.0,0.0,0.0,0.0,26.529124310368452,RP,Dirtbags 2022,15.0,20.999024370354515,39.0,95.3901,3.7423,11.139399999999995,6.877066666666668,34.548,24.0,63.0,2,2,0.0,0.0,0.0,0.0
9,20123,10,Juan Soto,116.846,103.873,38.6211,11.4284,9.190019999999976,23.47895395393931,OF,E pluribus unum magnas bigas,53.0,16.432429247206144,38.0,0.0,0.0,0.0,0.0,0.0,-15.0,23.0,2,2,0.0,13.0,85.0,75.0
10,13510,11,José Ramírez,93.1159,96.8127,27.4456,23.2433,8.645427999999981,23.02841396484576,3B,Bearded Villains,44.0,15.981889258112597,37.0,0.0,0.0,0.0,0.0,0.0,-7.0,30.0,2,2,0.0,7.0,37.0,94.0
11,19556,12,Yordan Alvarez,100.969,112.522,38.8104,1.2362,16.957573999999966,22.791872182002315,OF,E pluribus unum magnas bigas,37.0,15.745347475269151,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2,2,0.0,18.0,99.0,66.0
