,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
0,18401,Ronald Acuña Jr.,OF,Dirtbags 2022,56.0,68.0,12.0,36.659230480036555,29.422506427282478,80.0,132.209,38.31042,101.82678000000001,54.34142000000001,25.757824999999997,0.0,0.0,0.0,0.0,0.0,10,1,0.0,14.9,91.0,84.0
1,23697,Julio Rodriguez,OF,Steal Your Base,34.0,40.0,6.0,24.491659296418085,17.254935243664008,46.0,101.06778,32.46246,96.08068,32.68372,7.927145599999989,0.0,0.0,0.0,0.0,0.0,6,2,0.0,11.9,77.0,32.0
2,25878,Corbin Carroll,OF,Steal Your Base,21.0,39.0,18.0,23.72604775838556,16.489323705631485,57.0,102.59279999999998,23.46012,82.76288,41.50864,4.592895599999991,0.0,0.0,0.0,0.0,0.0,6,2,0.0,7.1,37.0,71.0
3,27498,Spencer Strider,SP,🤡 Clown Team Brohtani 🎌,23.0,39.0,16.0,25.714041580971546,21.144109883991028,55.0,0.0,0.0,0.0,0.0,0.0,250.5194,14.907580000000001,0.0,25.494411999999993,9.761756666666667,6,2,125.0,0.0,0.0,0.0
4,25764,Bobby Witt Jr.,SS,Bearded Villains,32.0,38.0,6.0,24.943462085104603,16.353289861769618,44.0,99.6392,28.09592,91.44127999999999,40.623540000000006,5.946672800000016,0.0,0.0,0.0,0.0,0.0,6,2,0.0,11.5,77.0,64.0
5,19709,Fernando Tatis Jr.,OF,🤡 Clown Team Brohtani 🎌,51.0,37.0,-14.0,22.848196053040866,15.61147200028679,23.0,100.10972,35.21234,98.90364,27.41712,3.516754599999956,0.0,0.0,0.0,0.0,0.0,6,2,0.0,10.5,68.0,20.0
6,14710,Edwin Diaz,RP,Dirtbags 2022,15.0,37.0,22.0,25.64578529741951,19.983804065339086,59.0,0.0,0.0,0.0,0.0,0.0,93.64918,3.4448480000000004,33.56644,11.1511968,6.467726666666667,6,2,0.0,0.0,0.0,0.0
7,21032,Emmanuel Clase,RP,🤡 Clown Team Brohtani 🎌,15.0,35.0,20.0,24.078421695952443,18.416440463872018,55.0,0.0,0.0,0.0,0.0,0.0,67.06028,4.381458,33.19556,7.220161599999997,5.83103,6,2,154.0,0.0,0.0,0.0
8,19755,Shohei Ohtani Combined,Util/SP,Clown Team Bro,23.5,35.0,11.5,22.10222241573464,14.865498362980565,46.5,103.81379999999999,38.72484,109.08081999999999,18.82136,3.672743999999966,0.0,0.0,0.0,0.0,0.0,6,2,121.0,19.0,100.0,12.0
9,18345,Kyle Tucker,OF,Black Sox,38.0,35.0,-3.0,22.262281887557812,15.025557834803736,32.0,95.06112,30.865,102.8662,24.71962,7.9811717999999985,0.0,0.0,0.0,0.0,0.0,6,2,0.0,10.6,69.0,86.0
10,13510,José Ramírez,3B,Bearded Villains,44.0,33.0,-11.0,20.710356600315574,14.009787216810594,22.0,91.90122,26.97794,96.10468,24.15924,7.134321999999969,0.0,0.0,0.0,0.0,0.0,17,3,0.0,7.0,37.0,94.0
11,21029,Jhoan Duran,RP,E pluribus unum magnas bigas,6.0,32.0,26.0,22.65724538343995,16.995264151359525,58.0,0.0,0.0,0.0,0.0,0.0,87.14762,4.000614000000001,28.695,6.496323999999996,6.886709999999999,17,3,129.0,0.0,0.0,0.0
12,15816,Devin Williams,RP,Mudcats,13.0,31.0,18.0,22.344114532522678,16.682133300442253,49.0,0.0,0.0,0.0,0.0,0.0,87.44102000000001,4.825362,29.5988,3.256799199999995,5.24565,17,3,114.0,0.0,0.0,0.0
13,15640,Aaron Judge,OF,The Maddogs 2,46.0,31.0,-15.0,20.29621307334461,13.059489020590535,16.0,103.74659999999999,45.03474,110.918,6.952540000000001,3.272000399999996,0.0,0.0,0.0,0.0,0.0,17,3,0.0,27.1,100.0,2.0
14,14212,Josh Hader,RP,Bearded Villains,22.0,31.0,9.0,22.37672277321838,16.714741541137954,40.0,0.0,0.0,0.0,0.0,0.0,85.94392,3.432698,31.66496,5.388541599999999,3.7573666666666683,17,3,112.0,0.0,0.0,0.0
15,13611,Mookie Betts,2B/SS/OF,The Maddogs 2,54.0,31.0,-23.0,20.272083254299503,13.035359201545427,8.0,113.3068,32.89394,95.405,13.20756,7.819188399999973,0.0,0.0,0.0,0.0,0.0,17,3,0.0,12.4,83.0,92.0
